,Title,Parsed_Ingredients,Ingredients,Instructions,Scores
0,Baked Slow Cooker Chicken,chicken,"1 (2 to 3 pound) whole chicken  , salt and pepper to taste  , 1 teaspoon paprika  ,  ","Wad three pieces of aluminum foil into 3 to 4 inch balls, and place them in the bottom of the slow cooker.
Rinse the chicken, inside and out, under cold running water. Pat dry with paper towels. Season the chicken with the salt, pepper and paprika, and place in the slow cooker on top of the crumpled aluminum foil.
Set the slow cooker to High for 1 hour, then turn down to Low for about 8 to 10 hours, or until the chicken is no longer pink and the juices run clear.
",0.0
1,Spicy Rapid Roast Chicken,chicken,"1 (3 pound) whole chicken  , 1 tablespoon olive oil  , 1/4 teaspoon salt  , 1/4 teaspoon ground black pepper  , 1/4 teaspoon dried oregano  , 1/4 teaspoon dried basil  , 1/4 teaspoon paprika  , 1/8 teaspoon cayenne pepper  ,  ","Preheat oven to 450 degrees F (230 degrees C).
Rinse chicken thoroughly inside and out under cold running water and remove all fat. Pat dry with paper towels.
Put chicken into a small baking pan. Rub with olive oil. Mix the salt, pepper, oregano, basil, paprika and cayenne pepper together and sprinkle over chicken.
Roast the chicken in the preheated oven for 20 minutes. Lower the oven to 400 degrees F (205 degrees C) and continue roasting to a minimum internal temperature of 165 degrees F (74 degrees C), about 40 minutes more. Let cool 10 to 15 minutes and serve.
",0.0
2,Fully Salted Roast Chicken ,chicken,"1 (3 1/2-4-lb.) chicken, Kosher salt","Pat dry chicken with paper towels. Holding a 5-finger pinch of salt and positioning your hand at least 10"" above chicken, evenly rain salt down over chicken. Repeat with several more pinches of salt until both inside and outside of chicken are covered with salt (be generous and make sure to get inside all the nooks and crannies). Place chicken on a wire rack set inside a rimmed baking sheet and chill uncovered at least 8 hours and up to 1 day. Let sit at room temperature 1 hour. Preheat oven to 425degF. Roast chicken until an instant-read thermometer inserted into the thickest part of chicken thigh registers 165degF, 40-55 minutes. Transfer chicken to a cutting board and let rest 15 minutes before carving. Divide pasta among bowls and top with chervil, if desired.
Pat dry chicken with paper towels. Holding a 5-finger pinch of salt and positioning your hand at least 10"" above chicken, evenly rain salt down over chicken. Repeat with several more pinches of salt until both inside and outside of chicken are covered with salt (be generous and make sure to get inside all the nooks and crannies). Place chicken on a wire rack set inside a rimmed baking sheet and chill uncovered at least 8 hours and up to 1 day.
Let sit at room temperature 1 hour.
Preheat oven to 425degF. Roast chicken until an instant-read thermometer inserted into the thickest part of chicken thigh registers 165degF, 40-55 minutes. Transfer chicken to a cutting board and let rest 15 minutes before carving.
Divide pasta among bowls and top with chervil, if desired.",0.0
3,Country Chicken,butter chicken chicken broth chicken cream,"1/2 cup butter  , 1 (4 pound) whole chicken, cut into pieces  , 1 pinch salt and pepper to taste  , 2 (14 ounce) cans chicken broth  , 2 cups water  , 2 cubes chicken bouillon  , 16 ounces sour cream  ,  ","Melt the butter in a large Dutch oven over medium-high heat. Season the chicken pieces with a little salt and pepper, then place them in the pan. Cook, turning as necessary, until the skin is evenly browned.
Pour the chicken broth and water into the pot, and bring to a boil. Stir in the bouillon cubes until dissolved. Simmer over low heat for 35 to 45 minutes, or until chicken is almost falling off of the bone.
Remove the chicken pieces from the pot and set aside. Stir the sour cream into the broth. Taste and adjust seasoning if needed. Serve chicken with sauce over rice or noodles.
",0.13281492856799004
4,Roast Chicken,chicken onion lemon garlic chicken chicken stock,"6 to 7 pound chicken, 1 large onion or lemon, 2 cloves garlic, minced, Salt and pepper, Juice and oil of roasted chicken, 1 cup canned chicken stock, Salt and pepper","Preheat oven to 425 degrees F. Remove giblet bag from cavity. Rinse chicken and pat dry. Stuff the chicken cavity with peeled onion or split lemon. Rub skin with minced garlic, salt and pepper. Roast in oven for approximately 10 minutes per pound, until juices run clear. The temperature of chicken should reach approximately 160 degrees. Let chicken sit to allow juices to reabsorb. Carve and serve.
Remove grease from the roasting pan using a large spoon, but leave brown bits and juices. On stove-top place pan over medium heat. Add chicken stock. Scrape up bits and bring to a simmer. Season and serve with carved chicken.",0.16568895264875783
5,Deviled Chicken I,chicken butter,"1 (2 to 3 pound) whole chicken, cut into pieces  , 1/2 cup melted butter, divided  , 1 tablespoon paprika  , 1 teaspoon salt  , 1 1/2 teaspoons dry mustard  , 1/2 teaspoon chili powder  , 1 pinch cayenne pepper  , 1/4 cup water  ,  ","Preheat oven to 350 degrees F (175 degrees C).
Dip chicken pieces into 1/4 cup melted butter and place in a 9x13 inch baking dish.
Bake at 350 degrees F (175 degrees C) for 30 minutes.
In a medium bowl combine remaining 1/4 cup melted butter with paprika, salt, mustard, chili powder, cayenne pepper water; mix together and pour mixture over chicken.
Bake at 350 degrees F (175 degrees C) for another 30 minutes.
",0.19222247705810613
6,Rotisserie Chicken,chicken butter,"1 (3 pound) whole chicken  , 1 pinch salt  , 1/4 cup butter, melted  , 1 tablespoon salt  , 1 tablespoon paprika  , 1/4 tablespoon ground black pepper  ,  ","Season the inside of the chicken with a pinch of salt. Place the chicken onto a rotisserie and set the grill on high. Cook for 10 minutes.
During that time, quickly mix together the butter, 1 tablespoon of salt, paprika and pepper. Turn the grill down to medium and baste the chicken with the butter mixture. Close the lid and cook for 1 to 1 1/2 hours, basting occasionally, until the internal temperature reaches 180 degrees F (83 degrees C) when taken in the thigh with a meat thermometer.
Remove from the rotisserie and let stand for 10 to 15 minutes before cutting into pieces and serving.
",0.19222247705810613
7,Roast Chicken with Rosemary,chicken onion,"1 (3 pound) whole chicken, rinsed  , salt and pepper to taste  , 1 small onion, quartered  , 1/4 cup chopped fresh rosemary  ,  ","Preheat oven to 350 degrees F (175 degrees C).
Season chicken with salt and pepper to taste. Stuff with the onion and rosemary. Place chicken in a 9x13 inch baking dish or roasting dish.
Roast in the preheated oven for 2 to 2 1/2 hours, or until chicken is cooked through and juices run clear. Cooking time will vary a bit depending on the size of the bird.
",0.20472906729664286
8,Moist Garlic Chicken,chicken butter garlic chicken breast,"2 cups water  , 2 cubes chicken bouillon  , 1/2 cup butter  , 1 tablespoon dried Italian seasoning (optional)  , 1/2 teaspoon dried dill weed (optional)  , 1 teaspoon garlic salt, or to taste  , 4 skinless, boneless chicken breast halves  ,  ","Pour the water into a microwave-safe casserole dish, and place in the microwave. Heat until boiling, about 2 minutes. Stir in bouillon cubes, butter, italian seasoning, dill, and garlic salt.
Pierce the chicken breasts with a fork on one side, and place the pierced side down in the casserole dish. The chicken should be almost covered by the liquid, if not completely covered.
Cover the dish, and cook in the microwave for 10 minutes, or until chicken is no longer pink, and juices run clear. If the chicken is not done after the 10 minutes, continue to cook at 1 1/2 minute intervals.
",0.24775256849250604
9,Marinated Grilled Chicken -- Village,lemon chicken,"1/2 cup lemon juice, 1/4 olive oil, 1/2 teaspoon salt, 1/2 teaspoon pepper, 1 tablespoon fresh oregano or 1/4 teaspoon dried, 2 whole chickens, quartered","Make marinade by combining lemon juice, olive oil, salt, pepper, and oregano. Place chicken in a dish with tall sides and pour marinade over chicken. Use spoon to baste chicken with marinade. Refrigerate for 2 to 24 hours--a longer marinade time will produce a more intense flavor. Remove from refrigerator and use a flat-sided utensil to gently scrape off any marinade solids. Grill chicken over high heat for a total of 20 minutes, turning over after first 10 minutes. Season with salt and pepper.",0.2738858182025895
